DATE,price
2008-09-27,3.76188
2008-09-28,3.76188
2008-09-29,3.8825
2008-09-30,4.0525
2008-10-01,4.15
2008-10-02,4.2075
2008-10-03,4.33375
2008-10-04,4.33375
2008-10-05,4.33375
2008-10-06,4.28875
2008-10-07,4.32
2008-10-08,4.52375
2008-10-09,4.75
2008-10-10,4.81875
2008-10-11,4.81875
2008-10-12,4.81875
2008-10-13,4.7525
2008-10-14,4.635
2008-10-15,4.55
2008-10-16,4.5025
2008-10-17,4.41875
2008-10-18,4.41875
2008-10-19,4.41875
2008-10-20,4.05875
2008-10-21,3.83375
2008-10-22,3.54125
2008-10-23,3.535
2008-10-24,3.51625
2008-10-25,3.51625
2008-10-26,3.51625
2008-10-27,3.5075
2008-10-28,3.465
2008-10-29,3.42
2008-10-30,3.1925
2008-10-31,3.02625
2008-11-01,3.02625
2008-11-02,3.02625
2008-11-03,2.85875
2008-11-04,2.70625
2008-11-05,2.50625
2008-11-06,2.3875
2008-11-07,2.29
2008-11-08,2.29
2008-11-09,2.29
2008-11-10,2.235
2008-11-11,2.175
2008-11-12,2.1325
2008-11-13,2.14875
2008-11-14,2.23625
2008-11-15,2.23625
2008-11-16,2.23625
2008-11-17,2.23875
2008-11-18,2.2175
2008-11-19,2.1725
2008-11-20,2.15313
2008-11-21,2.1575
2008-11-22,2.1575
2008-11-23,2.1575
2008-11-24,2.16875
2008-11-25,2.19625
2008-11-26,2.18125
2008-11-27,2.2025
2008-11-28,2.21688
2008-11-29,2.21688
2008-11-30,2.21688
2008-12-01,2.22
2008-12-02,2.21
2008-12-03,2.20125
2008-12-04,2.1925
2008-12-05,2.18563
2008-12-06,2.18563
2008-12-07,2.18563
2008-12-08,2.18938
2008-12-09,2.16375
2008-12-10,2.09875
2008-12-11,1.99625
2008-12-12,1.92125
2008-12-13,1.92125
2008-12-14,1.92125
2008-12-15,1.87125
2008-12-16,1.8475
2008-12-17,1.5775
2008-12-18,1.525
2008-12-19,1.4975
2008-12-20,1.4975
2008-12-21,1.4975
2008-12-22,1.46625
2008-12-23,1.46625
2008-12-24,1.4675
2008-12-25,1.4675
2008-12-26,1.4675
2008-12-27,1.4675
2008-12-28,1.4675
2008-12-29,1.45875
2008-12-30,1.435
2008-12-31,1.425
2009-01-01,1.425
2009-01-02,1.4125
2009-01-03,1.4125
2009-01-04,1.4125
2009-01-05,1.42125
2009-01-06,1.41125
2009-01-07,1.3975
2009-01-08,1.35375
2009-01-09,1.26
2009-01-10,1.26
2009-01-11,1.26
2009-01-12,1.16
2009-01-13,1.09438
2009-01-14,1.0825
2009-01-15,1.08563
2009-01-16,1.1425
2009-01-17,1.1425
2009-01-18,1.1425
2009-01-19,1.1325
2009-01-20,1.1225
2009-01-21,1.125
2009-01-22,1.15938
2009-01-23,1.16938
2009-01-24,1.16938
2009-01-25,1.16938
2009-01-26,1.18375
2009-01-27,1.18438
2009-01-28,1.17438
2009-01-29,1.17
2009-01-30,1.18438
2009-01-31,1.18438
2009-02-01,1.18438
2009-02-02,1.225
2009-02-03,1.23375
2009-02-04,1.23563
2009-02-05,1.24125
2009-02-06,1.24125
2009-02-07,1.24125
2009-02-08,1.24125
2009-02-09,1.22813
2009-02-10,1.22188
2009-02-11,1.23125
2009-02-12,1.23438
2009-02-13,1.2375
2009-02-14,1.2375
2009-02-15,1.2375
2009-02-16,1.24563
2009-02-17,1.24563
2009-02-18,1.25125
2009-02-19,1.25063
2009-02-20,1.24875
2009-02-21,1.24875
2009-02-22,1.24875
2009-02-23,1.24875
2009-02-24,1.25
2009-02-25,1.25625
2009-02-26,1.26125
2009-02-27,1.26438
2009-02-28,1.26438
2009-03-01,1.26438
2009-03-02,1.26625
2009-03-03,1.27125
2009-03-04,1.27663
2009-03-05,1.28375
2009-03-06,1.2925
2009-03-07,1.2925
2009-03-08,1.2925
2009-03-09,1.3125
2009-03-10,1.33125
2009-03-11,1.32594
2009-03-12,1.32
2009-03-13,1.31563
2009-03-14,1.31563
2009-03-15,1.31563
2009-03-16,1.30875
2009-03-17,1.29938
2009-03-18,1.2875
2009-03-19,1.22688
2009-03-20,1.22281
2009-03-21,1.22281
2009-03-22,1.22281
2009-03-23,1.22219
2009-03-24,1.22625
2009-03-25,1.2275
2009-03-26,1.23188
2009-03-27,1.22
2009-03-28,1.22
2009-03-29,1.22
2009-03-30,1.2075
2009-03-31,1.19188
2009-04-01,1.17688
2009-04-02,1.16594
2009-04-03,1.16094
2009-04-04,1.16094
2009-04-05,1.16094
2009-04-06,1.15688
2009-04-07,1.14938
2009-04-08,1.13875
2009-04-09,1.13125
2009-04-10,1.13125
2009-04-11,1.13125
2009-04-12,1.13125
2009-04-13,1.13125
2009-04-14,1.12188
2009-04-15,1.1125
2009-04-16,1.10688
2009-04-17,1.10188
2009-04-18,1.10188
2009-04-19,1.10188
2009-04-20,1.10063
2009-04-21,1.1
2009-04-22,1.09938
2009-04-23,1.09188
2009-04-24,1.0725
2009-04-25,1.0725
2009-04-26,1.0725
2009-04-27,1.05375
2009-04-28,1.03938
2009-04-29,1.0275
2009-04-30,1.01625
2009-05-01,1.00688
2009-05-02,1.00688
2009-05-03,1.00688
2009-05-04,1.00688
2009-05-05,0.98625
2009-05-06,0.97375
2009-05-07,0.95625
2009-05-08,0.9375
2009-05-09,0.9375
2009-05-10,0.9375
2009-05-11,0.92
2009-05-12,0.90563
2009-05-13,0.88313
2009-05-14,0.85438
2009-05-15,0.82563
2009-05-16,0.82563
2009-05-17,0.82563
2009-05-18,0.785
2009-05-19,0.7525
2009-05-20,0.71625
2009-05-21,0.66125
2009-05-22,0.66
2009-05-23,0.66
2009-05-24,0.66
2009-05-25,0.66
2009-05-26,0.66375
2009-05-27,0.67375
2009-05-28,0.6675
2009-05-29,0.65625
2009-05-30,0.65625
2009-05-31,0.65625
2009-06-01,0.65
2009-06-02,0.64625
2009-06-03,0.63688
2009-06-04,0.62938
2009-06-05,0.6325
2009-06-06,0.6325
2009-06-07,0.6325
2009-06-08,0.65
2009-06-09,0.6475
2009-06-10,0.63875
2009-06-11,0.62938
2009-06-12,0.62438
2009-06-13,0.62438
2009-06-14,0.62438
2009-06-15,0.61438
2009-06-16,0.61313
2009-06-17,0.61
2009-06-18,0.60875
2009-06-19,0.61188
2009-06-20,0.61188
2009-06-21,0.61188
2009-06-22,0.61
2009-06-23,0.6075
2009-06-24,0.60438
2009-06-25,0.60125
2009-06-26,0.5975
2009-06-27,0.5975
2009-06-28,0.5975
2009-06-29,0.59688
2009-06-30,0.595
2009-07-01,0.5875
2009-07-02,0.5775
2009-07-03,0.55875
2009-07-04,0.55875
2009-07-05,0.55875
2009-07-06,0.54813
2009-07-07,0.5375
2009-07-08,0.525
2009-07-09,0.51
2009-07-10,0.505
2009-07-11,0.505
2009-07-12,0.505
2009-07-13,0.50938
2009-07-14,0.51313
2009-07-15,0.51375
2009-07-16,0.51
2009-07-17,0.50375
2009-07-18,0.50375
2009-07-19,0.50375
2009-07-20,0.505
2009-07-21,0.50313
2009-07-22,0.50188
2009-07-23,0.50375
2009-07-24,0.50188
2009-07-25,0.50188
2009-07-26,0.50188
2009-07-27,0.49625
2009-07-28,0.49125
2009-07-29,0.4875
2009-07-30,0.48313
2009-07-31,0.47938
2009-08-01,0.47938
2009-08-02,0.47938
2009-08-03,0.47188
2009-08-04,0.47063
2009-08-05,0.46813
2009-08-06,0.46438
2009-08-07,0.46125
2009-08-08,0.46125
2009-08-09,0.46125
2009-08-10,0.45875
2009-08-11,0.45438
2009-08-12,0.44969
2009-08-13,0.44
2009-08-14,0.42938
2009-08-15,0.42938
2009-08-16,0.42938
2009-08-17,0.43125
2009-08-18,0.425
2009-08-19,0.41875
2009-08-20,0.40688
2009-08-21,0.39313
2009-08-22,0.39313
2009-08-23,0.39313
2009-08-24,0.38688
2009-08-25,0.38
2009-08-26,0.37188
2009-08-27,0.36063
2009-08-28,0.3475
2009-08-29,0.3475
2009-08-30,0.3475
2009-08-31,0.3475
2009-09-01,0.33438
2009-09-02,0.33
2009-09-03,0.32188
2009-09-04,0.31438
2009-09-05,0.31438
2009-09-06,0.31438
2009-09-07,0.30875
2009-09-08,0.30188
2009-09-09,0.29869
2009-09-10,0.29969
2009-09-11,0.299
2009-09-12,0.299
2009-09-13,0.299
2009-09-14,0.295
2009-09-15,0.29338
2009-09-16,0.29188
2009-09-17,0.29188
2009-09-18,0.28938
2009-09-19,0.28938
2009-09-20,0.28938
2009-09-21,0.28938
2009-09-22,0.28563
2009-09-23,0.285
2009-09-24,0.28313
2009-09-25,0.2825
2009-09-26,0.2825
2009-09-27,0.2825
2009-09-28,0.2825
2009-09-29,0.28969
2009-09-30,0.28688
2009-10-01,0.28438
2009-10-02,0.28406
2009-10-03,0.28406
2009-10-04,0.28406
2009-10-05,0.28406
2009-10-06,0.28406
